organization,location,description,website
Association for Industry Contacts with the Community,Israel,"""Taasiyeda"" (""Think Industry"") assumes that the future success of industry and education is inter-linked. It's therefore crucial to cultivate a younger generation that has attained practical experience in dealing with the principles and challenges of industry.  This cooperation between schools and industry is done through the theme of environment.",
Association of Israel's Decorative Arts (AIDA),United States,"AIDA's mission is to foster the development of contemporary decorative artists from Israel by connecting them to an international audience of galleries, institutions, and collectors.",http://www.aidaarts.org
Azrieli College of Engineering Jerusalem,Israel,"Established in 1999, Azrieli – College of Engineering Jerusalem (originally called The Jerusalem College of Engineering) is a non-profit organization that is committed to creating well-educated and highly trained professionals in the field of engineering. ",http://english.jce.ac.il/
Banff Centre for the Arts,Canada,"The Banff Centre's mission is inspiring creativity. Thousands of artists, leaders, and researchers from across Canada and around the world participate in programs here every year. Through its multi-disciplinary programming, The Banff Centre provides them with the support they need to create, to develop solutions, and to make the impossible possible. ",https://www.banffcentre.ca/
Bar-Ilan University,Israel,"Bar-Ilan University is the fastest-growing institution of higher education in Israel. The sterling academic experience provided by Bar-Ilan University is what one would expect from any world-class institution, in Israel or elsewhere: we impart knowledge to our students, and provide them with the critical ability and tools to analyze that knowledge, to study academic subjects with rigor and discipline, and apply their findings and understandings to contemporary realities.",http://www1.biu.ac.il/indexE.php
Baycrest Centre Foundation,Canada,"Baycrest is dedicated to achieving excellence in providing the best possible experience and care for the physical and mental wellbeing of people during their journey of aging. Founded in 1918 as the Jewish Home for Aged, Baycrest continues to embrace the long-standing tradition of all great Jewish healthcare institutions to improve the well-being of people in their local communities and around the globe.",http://www.baycrest.org/
Ben-Gurion University of the Negev,Israel,Ben-Gurion University of the Negev is one of Israel’s leading research universities and among the world leaders in many fields.,http://in.bgu.ac.il/en
Beth Hatefutsoth,Israel,This unique global institution tells the ongoing and extraordinary story of the Jewish people. Beit Hatfutsot connects Jewish people to their roots and strengthens their personal and collective Jewish identity.,http://www.bh.org.il/
Beit Midrash/A Liberal Yeshivah,United States,"Founded at Hebrew Union College's Jerusalem School, Beit Midrash/A Liberal Yeshivah offers congregational group visitors and adult learners from around the world opportunities for study and spiritual growth through program that immerses English-speaking Jews in the traditional texts and practices of Judaism. ",
Bezalel Academy of Arts and Design,Israel,"The name Bezalel is synonymous with more than 100 years of Israeli art, innovation and academic excellence.",http://www.bezalel.ac.il/en
Big Tent Judaism,United States,"For more than two decades, Big Tent Judaism (formerly known as Jewish Outreach Institute) has been opening the Jewish tent to all who wish to enter. If you’ve previously felt pushed out or underserved — or if you’ve simply never had a reason to engage — our goal is to welcome you (or welcome you back) with open arms.",http://bigtentjudaism.org/
Birthright Israel Foundation,United States,"Birthright Israel Foundation raises the necessary funds each year to support Birthright Israel. Through partnerships with the Government of Israel, the Jewish Federations of North America, the Jewish Agency for Israel and Keren Hayesod as well as the over 32,000 Birthright Israel Foundation donors each year, we work to ensure that Birthright Israel remains a gift to young Jewish adults for years to come.",https://birthrightisrael.foundation/contact.php
Bishop's University,Canada,"Bishop's University is a predominantly residential, undergraduate university. The primary concern is offering students a quality education in arts, sciences, business, and education.",http://www.ubishops.ca/
Bloomfield Science Museum in Jerusalem,Israel,"The Bloomfield Science Museum Jerusalem is an informal cultural and educational institution that presents exhibitions consisting of interactive exhibits on subjects of science and technology, and integrates these exhibits into a context through a wide range of educational activities.",http://www.mada.org.il/en
B'nai Brith Canada,Canada,"B’nai Brith has advocated for Canadian Jewry and championed the cause of human rights since 1875. B’nai Brith is recognized as a vital voice in promoting Jewish unity and continuity, a staunch defender of the State of Israel and global Jewry, a tireless advocate on behalf of senior citizens and a leader in combatting antisemitism & racism. B'nai Brith Canada is the action arm of the Jewish community.",http://www.bnaibrith.ca/
Boston University,United States,"It’s in our DNA: an inherent desire in each of our students, faculty, and staff to vigorously and dauntlessly pursue knowledge—and embrace the unlimited possibilities that come with it.",http://www.bu.edu/
Brandeis University,United States,"ACBP established The Institute for Informal Jewish Education (IJE) at Brandeis University with the mission to support Jewish educators in creating meaningful Jewish experiences. Brandeis University- Institute for Informal Jewish Education: Changing the landscape of informal Jewish education in North America by strengthening the field, supporting leading educators, and developing and testing innovative programs. ACBP funded one project in particular called the Seminar in Professional Leadership, a major innovation in professional training for informal Jewish educators. It built the first professional network in the field to cross denominational and organizational lines, encouraging promising professionals to stay in the field and aspire to leadership positions. IJE created the Leadership Letter, a semi-annual newsletter featuring articles by alumni about their collaborations with each other and other projects along with news of the Institute. 



The Jewish Futures Project reports are published by the Maurice and Marilyn Cohen Center for Modern Jewish Studies at Brandeis University. The reports aim to assess the impact of the Taglit-Birthright Israel program on the Jewish identity of participants once they return home. The research team is headed by Dr. Leonard Saxe, director of the Steinhardt Social Research Institute and Cohen Center for Modern Jewish Studies at Brandeis and the study is funded, among others, by Taglit-Birthright Israel and the Andrea and Charles Bronfman Philanthropies. ",http://www.brandeis.edu/cmjs/
Brandon University,Canada,"We promote excellence in teaching, research, creation and scholarship. We educate our students so that they can make a meaningful difference as engaged citizens and leaders. We defend academic freedom and responsibility. We create and disseminate new knowledge. We embrace cultural diversity and are particularly committed to the education of First Nations, Métis and Inuit people. We share our expertise and resources with the greater community.",https://www.brandonu.ca/
Breast Cancer Research Foundation,United States,"The mission of Breast Cancer Research Foundation is to prevent and cure breast cancer by advancing the world's most promising research at leading medical centers worldwide, and increasing public awareness about good breast health.",http://www.bcrfcure.org/
Bronfman Jewish Education Centre,Canada,BJEC is the planning and coordinating agency for Jewish community educational needs in Montreal. BJEC is responsible for the development of Jewish identity and continuity in our community through formal and informal Jewish education experiences and lifelong learning opportunities geared to all age groups.,http://www.bjec.org/
"B'Yachad (For a Jewish, Democratic Society in Israel)",Israel,"Kulanu seeks to create an inclusive Jewish society between the polarized groups: committed religious Jews and secular Israelis. Kulanu does this by seeking to strengthen the Jewish character of the State of Israel, enhancing democracy and fostering unity through its diverse projects. B'Yachad: For a Shared Jewish Democratic Society was a project of Kulanu. ",
Camp B'nai Brith Inc.,Canada,"Camp B’nai Brith of Montreal, established in 1920, has remained loyal to its founding charter of providing a Jewish camping experience to the children of our community.",http://cbbmtl.org/
Canadian Baseball Hall of Fame,Canada,"Since its inception as a non-profit, charitable foundation in October 1983, the Canadian Baseball Hall of Fame & Museum has been dedicated to preserving Canada’s rich baseball heritage. ",http://baseballhalloffame.ca/
Canadian Centre for Advanced Film Studies,Canada,"To launch Canada's most creative ideas and voices in film, television, screen acting, music, and digital media to the world.",http://www.cfccreates.com
Canadian Centre for Architecture,Canada,"The Canadian Centre for Architecture (CCA) was founded in 1979 as a new form of cultural institution to build public awareness of the role of architecture in society, promote scholarly research in the field, and stimulate innovation in design practice.",http://www.cca.qc.ca/en/
Canadian Clay & Glass Gallery,Canada,"The Canadian Clay and Glass Gallery is a long-standing site of excellence and a destination for contemporary art for international tourists and regional citizens. We host critically-acclaimed exhibitions that challenge ideas and perceptions of the definitions of art, craft and design today.",http://www.theclayandglass.ca/
Canadian Foundation for the Americas,Canada,"FOCAL was created as an independent, non-governmental think-tank meant to enhance co-operation and dialogue, create new linkages, and strengthen existing ties between countries of the hemisphere through policy analysis and discussion. The Canadian Foundation for the Americas (FOCAL) is no longer in operation, having ceased operations in 2011.",http://www.focal.ca/
Canadian Friends of Peace Now,Canada,"Peace Now (Shalom Achshav) is the largest and most effective peace movement in the history of Israel. Shalom Achshav works to promote peace with security for Israel, and a healthy democracy, through educational, advocacy and dialogue activities.",http://www.peacenowcanada.org/
Canadian Gene Cure Foundation,Canada,The Canadian Gene Cure Foundation will continue to create and sustain a cooperative research community in the field of human genetic disease which will increase the likelihood of successful discovery of cures and treatments for inherited diseases.,http://genecure.ca/en
Canadian Institute for Advanced Research,Canada,"CIFAR brings together top international researchers to create new knowledge that will change Canada and the world. Today, our global research networks are working on some of the most interesting and pressing questions of our time.",http://www.cifar.ca/
Canadian Jewish Congress,Canada,"Canadian Jewish Congress focused on outreach to ethnic and faith-based groups, civil society organizations and labour, and it worked to promote civil discourse, the constitutional rights and freedoms of all Canadians, and Jewish and Canadian shared values. The Centre for Israel and Jewish Affairs (CIJA), the merger between the Canadian Jewish Congress and many other groups, CIJA is a national, non-partisan, non-profit organization dedicated to improving the quality of Jewish life in Canada by advancing the public policy interests of Canada’s organized Jewish community.",http://www.cija.ca/
Canadian Museum of Immigration at Pier 21,Canada,Canada has been profoundly shaped by immigration. The Canadian Museum of Immigration at Pier 21 aims to inspire and enable Canadians to explore their relationships with those migrations.,http://www.pier21.ca/
Canadian Red Cross Society,Canada,The Canadian Red Cross mission is to improve the lives of vulnerable people by mobilizing the power of humanity in Canada and around the world.,http://www.redcross.ca/
Canadian Society for Yad Vashem,Canada,"The Canadian Society for Yad Vashem, The Holocaust Martyrs’ and Heroes’ Remembrance Authority, raises financial resources for Yad Vashem Jerusalem’s global initiatives and implements Yad Vashem’s vision of disseminating the facts and universal lessons of the Shoah across Canada through significant educational and commemorative initiatives.",http://www.yadvashem.ca/
Canadian Zionist Federation,Canada,"CZF is an organization expressly committed to Jewish education, Jewish culture and the centrality of Israel in Jewish life. CZF was established in 1967 as a national federation for Zionist organizations across Canada. It is the official representative and voice of Canadian Zionists to the World Zionist Organization, the body responsible for Israel/Diaspora relations. ACBP supported Canadian Youth Travel to Israel in the Youth & Hechalutz Department. ",
Cancer Research Institute,United States,"The Cancer Research Institute (CRI), established in 1953, is the world’s only nonprofit organization dedicated exclusively to transforming cancer patient care by advancing scientific efforts to develop new and effective immune system-based strategies to prevent, diagnose, treat, and eventually cure all cancers. The CRI Irvington Postdoctoral Fellowship Program, established in 1971, is CRI's longest-standing continuous program. Fellowships provide support to fund and train young immunologists and cancer immunologists at top universities and research centers around the world. ",http://www.cancerresearch.org/grants-programs/grants-fellowships/cri-irvington-postdoctoral-fellowships
Cardigan Mountain School,United States,"Cardigan was built upon an educational experience that emphasized rigorous academics and study habits, as well as spiritual guidance, physical training, and social orientation. To achieve our mission, we reward effort and accomplishment, helping each boy realize his academic, physical, and personal potential through the integration of the following core values in all aspects of daily life.",http://www.cardigan.org
Carnegie Hall,United States,"For over a century, Carnegie Hall has been the place where distinctive artists of all stripes have come to make their names in New York City. This tradition of excellence has made Carnegie Hall an essential part of the city’s cultural fabric and the world’s most famous concert hall. ",http://www.carnegiehall.org
Centennial Academy,Canada,"Centennial's mission is to give each and every student the support needed to reach his or her full potential in an environment that promotes independence, respect, self-esteem and the desire to succeed.",http://www.centennial.qc.ca/
Center for Enriched Living,United States,"The Center for Enriched Living began in 1968, when two mothers approached a social worker at a local community center, asking for help in finding after-school programs for their children with developmental disabilities. As these programs evolved, they began to include social and independent living activities for people of all ages with developmental disabilities. The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve personal success, and enjoy a good quality of life.",https://www.centerforenrichedliving.org/
Center for Jewish Arab Economic Development,Israel,"The Center for Jewish-Arab Economic Development (CJAED) is a non-profit organization, established in 1988 by a group of Jewish and Arab businesspeople. The guiding principle of the Center and its activities is that Jewish-Arab economic cooperation in Israel is essential for peace, prosperity and economic stability in Israel and the region at large. CJAED acts on the premise that Israel's primary resource is its people; that Israel's strength lies in its pluralism and democracy, and that the Arab community must be integrated into the Israeli mainstream economy and society. ",http://www.cjaed.org.il/
Center for Entrepreneurial Jewish Philanthropy Inc.,United States,The Center for Entrepreneurial Jewish Philanthropy (CEJP) was established in January 2005 to advise and support a new generation of major Jewish philanthropists and their professional staff in all aspects of their Jewish and Israel based charitable giving.,http://www.cejp.com/
Centraide of Greater Montreal,Canada,"The mission is to maximize financial and volunteer resources, particularly by funding community agencies and working in partnership with them, so that Centraide can promote caring and social involvement in order to improve the quality of life in our community and empower its most vulnerable members to take charge of their lives.",http://www.centraide-mtl.org/en/
Central Park Conservancy,United States,"The Central Park Conservancy was founded in 1980 by a group of dedicated civic and philanthropic leaders. They were determined to end Central Park's dramatic decline in the 1970s and restore it to its former splendor as America's first and foremost major urban public space, as envisioned by its 19th-century designers, Frederick Law Olmsted and Calvert Vaux. Today, the Conservancy's mission is to restore, manage and enhance Central Park, in partnership with the public, for the enjoyment of present and future generations.",http://www.centralparknyc.org/
Central Synagogue ,United States,"Central Synagogue provides a joyous opportunity for Jews of diverse backgrounds to come together for prayer, spiritual renewal and community in a warm, enriching environment.",http://www.centralsynagogue.org/
Centre hospitalier de l'Université de Montréal,Canada,"The promotion of health is an important value for the CHUM and rightly fits the number of components of its mission. In 1996, Quebec's Health Minister announced a merger of the three ""French"" hospitals - Hôtel-Dieu, Notre-Dame et Saint-Luc - to create CHUM. ",http://www.chumontreal.qc.ca/
City Year Los Angeles,United States,"One million students drop out of school each year, and half of those dropouts come from just 12 percent of schools. City Year’s Long-Term Impact strategy will challenge the status quo, dramatically increasing the graduation pipeline and transforming the future for thousands of students in America.",http://www.cityyear.org/
Characters Incorporated,Canada,"Characters Incorporated was a youth-based performance troupe which produced high-quality music and theatrical productions. It was founded and lead by Philip Sexsmith. The troupe travelled internationally, representing New Brunswick and Canada throughout the 1980’s and 90’s. He organized the Celebrate Canada Tour in 1991. ",
Clal-The National Jewish Center for Learning and Leadership,United States,"Founded in 1974, Clal-The National Jewish Center for Learning and Leadership is a leadership training institute, think tank and resource center. A leader in religious pluralism, Clal links Jewish wisdom with innovative scholarship to deepen civic and spiritual participation in American life. Clal’s interdisciplinary programs explore religious and national identity.",http://www.clal.org
Columbia/Barnard Hillel,United States,"Columbia/Barnard Hillel is the catalyst for students to explore and consciously define their Jewish identity. Our quest is to help students, regardless of their origin or destination, find their own interpretation of Jewish values, culture, community and religion by empowering them to explore, learn, and grow intellectually, spiritually and socially.",http://hillel.columbia.edu
Columbia University School of Social Work,United States,"Columbia University School of Social Work derives its mission from the University’s goal to advance knowledge and learning at the highest level and to use that knowledge for human betterment and societal advancement.  Recognizing the importance of New York as a global city, the School seeks academic relationships with many countries and regions. More specifically, the School’s educational and research programs draw on social work values and a multi-disciplinary body of knowledge and skills.",http://socialwork.columbia.edu/
Combined Jewish Philanthropies of Greater Boston,United States,"CJP, Greater Boston's Jewish Federation, brings together the people, partners and resources to fulfill the most important needs and aspirations of our community. B3: Building the Birthright Israel Brand was created as a grant and operating program of ACBP aimed at providing research and development services to Birthright Israel in partnership with the Birthright Israel Foundation. Using the resources of CRBF and ACBP, B3's mission was to engage in projects to enhance Birthright Israel's resource and community development. ACBP supported the first six regional Jewish Federations for the first two years.",http://www.cjp.org/
Communauté Sépharade du Québec,Canada,"Since its creation in 1976, the Communauté Sépharade Unifiée du Québec has as its essential mission the preservation, enrichment, and promotion of the Sephardic culture and identity.",http://www.csuq.org/
Concordia University,Canada,"Concordia is an open and engaged university that encourages more than 46,000 students to become active, critical and global citizens. We are advancing with a big thinking approach to teaching and research that examines societal issues from a broad perspective.",http://www.concordia.ca/
Conference of Presidents of Major American Jewish Organizations Fund,,"For half a century, the Conference of Presidents has played a key role in American and world Jewish history. From mass public events to private diplomacy, the Conference has been in the forefront of mobilizing support for Israel and educating the public in times of war and conflict, and in the pursuit of peace. Today, the Conference of Presidents remains American Jewry’s recognized address for consensus policy, collective action, and maximizing the resources of the American Jewish community.",http://www.conferenceofpresidents.org
Congregation B'nai Jeshrun,United States,"Since its founding in 1825, during the presidency of John Quincy Adams, Congregation B’nai Jeshurun has been a leading force in New York Jewry and has been closely involved in the civic and national communities.",http://www.bj.org/
Congregation Etz Hayim,Canada,"Congregation Etz Chayim was born in August 2002 when Beth Israel, Bnay Abraham, and Rosh Pina synagogues joined together to form a new, vibrant home for the observance of Conservative Judaism in Winnipeg. Today, Congregation Etz Chayim is making its own history, one anchored by a strong sense of joy, community, goodness, and a celebration of Jewish life.",http://www.congregationetzchayim.ca/
Congregation Shaar Hashomayim,Canada,"Congregation Shaar Hashomayim, founded in 1846 and located in Westmount, Quebec, close to downtown Montreal, is Canada's oldest and largest traditional synagogue.",http://www.shaarhashomayim.org
Cool Globes,United States,"Cool Globes: Hot Ideas for a Cooler Planet, is a public art exhibition designed to raise awareness of solutions to climate change.  Cool Globes grew out of a commitment at the Clinton Global Initiative in 2005, and was incorporated as a non-profit organization in 2006.",http://www.coolglobes.com/
Council for Initiatives in Jewish Education,United States,"The Mandel Commision was assembled in 1988 by Morton Mandel and included a group of 44 top educators, philanthropists, and community officials. The commission included a two year study that recommended several strenghthening steps for the Jewish education system in North America, specifically, building the Jewish education profession and mobilizing community support for Jewish education. ",
Council on Foundations,United States,"An active philanthropic network, the Council on Foundations, founded in 1949, is a nonprofit leadership association of grantmaking foundations and corporations. It provides the opportunity, leadership, and tools needed by philanthropic organizations to expand, enhance and sustain their ability to advance the common good. The Council empowers professionals in philanthropy to meet today's toughest challenges and advances a culture of charitable giving in the U.S. and globally. ",http://www.cof.org/
Dalhousie University,Canada,Dalhousie University is one of Canada’s leading universities widely recognized for outstanding academic quality and the opportunities presented by our broad range of educational and research activities.,http://www.dal.ca/
David B. Hermelin College of Technology (Hermelin ORT College),Israel,"Hermelin College of Engineering trains Practical Engineers in various technological fields.  It also prepares adults and students in the most developing areas of Technological Studies, helping them to acquire new professions.",http://hermelin.ort.org.il
Dawson College,Canada,"Dawson College was the first English-language institution in the Quebec network of CEGEPs when it opened its doors to 1,200 students in the fall of 1969. Dawson College is committed to providing excellence in college education within a welcoming and stimulating environment. ",http://www.dawsoncollege.qc.ca
DeLeT: Day School Leadership through Teaching,United States,"Jewish day schools have become one of the fastest growing institutions on the American Jewish landscape and the increase in the number of Jewish day schools created a need for more and better-trained teachers. Responding to this need, philanthropist Laura Lauder founded DeLeT - Day School Leadership through Teaching. Professor Sharon Feiman-Nemser at Brandeis University and Dr. Michael Zeldin at HUC-JIR were challenged to create a state-of-the-art program to prepare day school teachers and Lauder assembled a group of generous and creative philanthropists to support this innovative effort. HUC-JIR and Brandeis University formed partnerships with local day schools and developed DeLeT, a unique 13-month teacher education program to foster core knowledge, skills, and professional development needed for effective day school teaching.",http://huc.edu/academics/become-leader-in-jewish-education/delet-day-school-teachers-new-generation
Desert Rock Peace Foundation Inc.,United States,"International events celebrating Israel's art, unity, and peace.",
"Dia Center for the Arts, Inc.",United States,"Established in 1974, Dia Art Foundation is internationally recognized as one of the world's most influential contemporary art institutions. The name ""Dia,"" taken from the Greek word meaning ""through,"" was chosen to suggest the institution's role in enabling visionary artistic projects that might not otherwise be realized because of their scale or ambition.",http://www.diaart.org/
Disability Rights International,United States,"Disability Rights International is a pioneering global human rights organization working to end the segregation and abuse of people with disabilities. Under Eric Rosenthal's leadership, The Charles Bronfman Prize recipient in 2013, DRI has galvanized a new international disability rights movement. Disability Rights International trains and supports advocates seeking legal and service system reform and assists governments in developing laws and policies to promote community integration and human rights enforcement for people with disabilities.",http://www.driadvocacy.org/
Doctors Without Borders,United States,"Doctors Without Borders/Médecins Sans Frontières (MSF) is an international medical humanitarian organization created by doctors and journalists in France in 1971. Today, MSF provides independent, impartial assistance in more than 60 countries to people whose survival is threatened by violence, neglect, or catastrophe, primarily due to armed conflict, epidemics, malnutrition, and exclusion from health care or natural disasters.",http://www.doctorswithoutborders.org/
Donald Berman Maimonides Foundation,Canada,"The core mission of Donald Berman Maimonides Geriatric Centre, a McGill University affiliated long-term care facility, is to provide service to aging members of the community who are no longer able to function independently. They are entrusted to our care by their families, with whom we are allied in values and purpose. Our mandate is founded on a strong heritage of Jewish values and community support.",http://www.donaldbermanmaimonides.net
Dystonia Medical Research Foundation Canada,Canada,The mission of the Dystonia Medical Research Foundation Canada (DMRFC) is to advance research for more treatments and ultimately a cure; to promote awareness and education; and to support the needs and well-being of affected individuals and families.,http://www.dystoniacanada.org
Economic Cooperation Foundation,Israel,"ECF is an Israeli policy planning think-tank dedicated to achieving an Israeli-Palestinian two state solution; to promote peace, security and prosperity for Israel and its Arab neighbors; and to promote Middle East regional stability. ",http://www.ecf.org.il/homePage.htm
"ELEM Youth in Distress, Inc.",Israel,"ELEM was founded in 1982 by a group of American and Israeli professionals and lay volunteers to help Israel’s population of at-risk youth become productive citizens. Through the years, ELEM has grown and now operates programs in 40 cities and towns nationwide, with a variety of innovative and relevant programs targeted toward different population groups.",http://www.elem.org/
